version,dataset,run,seed,n_samples,n_features,anomaly_rate_pct,threshold,threshold_mode,threshold_arg,branch,trees,runs,seed_base,auc_roc,auc_pr,fit_seconds,predict_seconds,paper_shape_match,source,note
v1,ionosphere,1,42,351,34,35.9,55,paper,,0,100,15,42,0.9374603174603174,0.9232638051470523,12.787432417011587,2.305320458006463,True,openml,Uses the 34-feature OpenML Ionosphere dataset to match the paper's shape.
v1,ionosphere,2,43,351,34,35.9,55,paper,,0,100,15,42,0.9449382716049384,0.9314597934906811,13.023446584003977,2.316795999999158,True,openml,Uses the 34-feature OpenML Ionosphere dataset to match the paper's shape.
v1,ionosphere,3,44,351,34,35.9,55,paper,,0,100,15,42,0.943774250440917,0.9322463121505326,11.078529124992201,2.39920762499969,True,openml,Uses the 34-feature OpenML Ionosphere dataset to match the paper's shape.
v1,ionosphere,4,45,351,34,35.9,55,paper,,0,100,15,42,0.9397883597883597,0.9220003854483287,13.286812958001974,2.5950349170016125,True,openml,Uses the 34-feature OpenML Ionosphere dataset to match the paper's shape.
v1,ionosphere,5,46,351,34,35.9,55,paper,,0,100,15,42,0.939400352733686,0.9234127364494633,13.790559957997175,2.7738260420010192,True,openml,Uses the 34-feature OpenML Ionosphere dataset to match the paper's shape.
v1,ionosphere,6,47,351,34,35.9,55,paper,,0,100,15,42,0.9360141093474427,0.9245930326033349,13.398264959003427,2.6847470840002643,True,openml,Uses the 34-feature OpenML Ionosphere dataset to match the paper's shape.
v1,ionosphere,7,48,351,34,35.9,55,paper,,0,100,15,42,0.9395061728395061,0.9230183587714799,13.836315249995096,2.3651190000091447,True,openml,Uses the 34-feature OpenML Ionosphere dataset to match the paper's shape.
v1,ionosphere,8,49,351,34,35.9,55,paper,,0,100,15,42,0.9457848324514991,0.9317860419624469,11.979071666995878,2.36411091699847,True,openml,Uses the 34-feature OpenML Ionosphere dataset to match the paper's shape.
v1,ionosphere,9,50,351,34,35.9,55,paper,,0,100,15,42,0.9424691358024692,0.9268615963309349,13.568264750007074,2.3572192910069134,True,openml,Uses the 34-feature OpenML Ionosphere dataset to match the paper's shape.
v1,ionosphere,10,51,351,34,35.9,55,paper,,0,100,15,42,0.9427865961199294,0.9287498487186452,12.377243833005195,2.393939624991617,True,openml,Uses the 34-feature OpenML Ionosphere dataset to match the paper's shape.
v1,ionosphere,11,52,351,34,35.9,55,paper,,0,100,15,42,0.9335449735449736,0.9199466595963561,12.996115207992261,2.8163304579938995,True,openml,Uses the 34-feature OpenML Ionosphere dataset to match the paper's shape.
v1,ionosphere,12,53,351,34,35.9,55,paper,,0,100,15,42,0.9414109347442681,0.9271166844972382,13.886734416999388,2.4201888749958016,True,openml,Uses the 34-feature OpenML Ionosphere dataset to match the paper's shape.
v1,ionosphere,13,54,351,34,35.9,55,paper,,0,100,15,42,0.9306878306878307,0.9182048727852916,12.087566292000702,2.26490824999928,True,openml,Uses the 34-feature OpenML Ionosphere dataset to match the paper's shape.
v1,ionosphere,14,55,351,34,35.9,55,paper,,0,100,15,42,0.9400000000000001,0.9248759101771873,12.017195291991811,2.301818916996126,True,openml,Uses the 34-feature OpenML Ionosphere dataset to match the paper's shape.
v1,ionosphere,15,56,351,34,35.9,55,paper,,0,100,15,42,0.9445502645502646,0.9290432284215255,10.961998541999492,2.26321283300058,True,openml,Uses the 34-feature OpenML Ionosphere dataset to match the paper's shape.
